timestamp,model,text,prediction,confidence
2025-05-06T18:55:26.040197+00:00,BERT,spring break in plain city... it's snowing,Negative,0.8501
2025-05-06T18:56:42.420784+00:00,BERT,spring break in plain city... it's snowing,Negative,0.8501
2025-05-06T18:58:31.703055+00:00,BERT,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,0.8399
2025-05-06T18:58:31.727930+00:00,BERT,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative,0.9880
2025-05-06T18:58:31.751915+00:00,BERT,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative,0.5777
2025-05-06T18:58:31.777610+00:00,BERT,my whole body feels itchy and like its on fire ,Negative,0.9589
2025-05-06T18:58:31.809844+00:00,BERT,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,0.9362
2025-05-06T18:58:31.834609+00:00,BERT,@Kwesidei not the whole crew ,Negative,0.6089
2025-05-06T18:58:31.859919+00:00,BERT,Need a hug ,Negative,0.9679
2025-05-06T18:58:31.888227+00:00,BERT,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive,0.8901
2025-05-06T18:58:31.911855+00:00,BERT,@Tatiana_K nope they didn't have it ,Negative,0.9245
2025-05-06T18:58:31.937953+00:00,BERT,@twittera que me muera ? ,Positive,0.5826
2025-05-06T18:58:31.960210+00:00,BERT,spring break in plain city... it's snowing ,Negative,0.8501
2025-05-06T18:58:31.985627+00:00,BERT,I just re-pierced my ears ,Positive,0.7817
2025-05-06T19:01:17.996654+00:00,BERT,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,0.8399
2025-05-06T19:01:18.021050+00:00,BERT,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative,0.9880
2025-05-06T19:01:18.044098+00:00,BERT,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative,0.5777
2025-05-06T19:01:18.067774+00:00,BERT,my whole body feels itchy and like its on fire ,Negative,0.9589
2025-05-06T19:01:18.100346+00:00,BERT,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,0.9362
2025-05-06T19:01:18.127753+00:00,BERT,@Kwesidei not the whole crew ,Negative,0.6089
2025-05-06T19:01:18.155503+00:00,BERT,Need a hug ,Negative,0.9679
2025-05-06T19:01:18.179452+00:00,BERT,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive,0.8901
2025-05-06T19:01:18.207143+00:00,BERT,@Tatiana_K nope they didn't have it ,Negative,0.9245
2025-05-06T19:01:18.233378+00:00,BERT,@twittera que me muera ? ,Positive,0.5826
2025-05-06T19:01:18.255700+00:00,BERT,spring break in plain city... it's snowing ,Negative,0.8501
2025-05-06T19:01:18.280200+00:00,BERT,I just re-pierced my ears ,Positive,0.7817
2025-05-06T19:02:03.744096+00:00,BERT,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,0.8399
2025-05-06T19:02:03.770767+00:00,BERT,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative,0.9880
2025-05-06T19:02:03.794432+00:00,BERT,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative,0.5777
2025-05-06T19:02:03.818872+00:00,BERT,my whole body feels itchy and like its on fire ,Negative,0.9589
2025-05-06T19:02:03.849464+00:00,BERT,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,0.9362
2025-05-06T19:02:03.875877+00:00,BERT,@Kwesidei not the whole crew ,Negative,0.6089
2025-05-06T19:02:03.900294+00:00,BERT,Need a hug ,Negative,0.9679
2025-05-06T19:02:03.926123+00:00,BERT,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive,0.8901
2025-05-06T19:02:03.950374+00:00,BERT,@Tatiana_K nope they didn't have it ,Negative,0.9245
2025-05-06T19:02:03.976254+00:00,BERT,@twittera que me muera ? ,Positive,0.5826
2025-05-06T19:02:03.999773+00:00,BERT,spring break in plain city... it's snowing ,Negative,0.8501
2025-05-06T19:02:04.025269+00:00,BERT,I just re-pierced my ears ,Positive,0.7817
2025-05-06T19:02:14.551695+00:00,BERT,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",Negative,0.8399
2025-05-06T19:02:14.575213+00:00,BERT,is upset that he can't update his Facebook by texting it... and might cry as a result  School today also. Blah!,Negative,0.9880
2025-05-06T19:02:14.596116+00:00,BERT,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,Negative,0.5777
2025-05-06T19:02:14.617864+00:00,BERT,my whole body feels itchy and like its on fire ,Negative,0.9589
2025-05-06T19:02:14.642385+00:00,BERT,"@nationwideclass no, it's not behaving at all. i'm mad. why am i here? because I can't see you all over there. ",Negative,0.9362
2025-05-06T19:02:14.664024+00:00,BERT,@Kwesidei not the whole crew ,Negative,0.6089
2025-05-06T19:02:14.687821+00:00,BERT,Need a hug ,Negative,0.9679
2025-05-06T19:02:14.710498+00:00,BERT,"@LOLTrish hey  long time no see! Yes.. Rains a bit ,only a bit  LOL , I'm fine thanks , how's you ?",Positive,0.8901
2025-05-06T19:02:14.733048+00:00,BERT,@Tatiana_K nope they didn't have it ,Negative,0.9245
2025-05-06T19:02:14.759093+00:00,BERT,@twittera que me muera ? ,Positive,0.5826
2025-05-06T19:02:14.781578+00:00,BERT,spring break in plain city... it's snowing ,Negative,0.8501
